Date,burger_sales,Instagram_Cost,Bing_Cost,Facebook_Cost,Google_Cost,Pinterest_Cost,Tiktok Cost
2020-04-08,1550,0.0,0.0,680.2,2947.46843,0.0,0.0
2020-04-09,1720,0.0,0.0,675.5,3104.89323,0.0,0.0
2020-04-10,1620,0.0,0.0,693.2,3060.6005,0.0,0.0
2020-04-11,1470,0.0,0.0,679.5,2546.39729,0.0,0.0
2020-04-12,1140,0.0,0.0,660.4,2458.53354,0.0,0.0
2020-04-13,1790,0.0,0.0,673.8,4023.9592,0.0,0.0
2020-04-14,1710,0.0,0.0,657.8,3128.3549399999997,0.0,0.0
2020-04-15,1830,0.0,0.0,677.4,3016.2637,0.0,0.0
2020-04-16,1810,0.0,0.0,663.8,2749.59424,0.0,0.0
2020-04-17,1740,0.0,0.0,660.5,3289.0734700000003,0.0,0.0
2020-04-18,1590,0.0,0.0,672.6,2587.32336,0.0,0.0
2020-04-19,1320,0.0,0.0,656.5,2617.20438,0.0,0.0
2020-04-20,1780,0.0,0.0,672.2,3745.91134,0.0,0.0
2020-04-21,1720,0.0,0.0,646.2,3238.87471,0.0,0.0
2020-04-22,1820,0.0,0.0,642.3,3039.31028,0.0,0.0
2020-04-23,1770,0.0,0.0,648.4,3081.2793199999996,0.0,0.0
2020-04-24,1840,0.0,0.0,655.0,2746.93814,0.0,0.0
2020-04-25,1490,0.0,0.0,655.1,2776.34525,0.0,0.0
2020-04-26,1310,0.0,0.0,638.8,2885.38081,0.0,0.0
2020-04-27,1790,0.0,0.0,648.5,3342.82344,0.0,0.0
2020-04-28,1750,0.0,0.0,620.1,2782.64647,0.0,0.0
2020-04-29,1960,0.0,0.0,655.5,3145.22872,0.0,0.0
2020-04-30,1940,0.0,0.0,565.2,2770.28393,0.0,0.0
2020-05-01,1740,0.0,0.0,659.3,3057.7815100000003,0.0,0.0
2020-05-02,1550,0.0,0.0,687.9,2569.16658,0.0,0.0
2020-05-03,1440,0.0,0.0,657.6,2936.0127599999996,0.0,0.0
2020-05-04,1990,0.0,0.0,694.9,3573.8310899999997,0.0,0.0
2020-05-05,2030,0.0,0.0,684.3,3189.0061399999995,0.0,0.0
2020-05-06,2190,0.0,0.0,659.9,2925.5940800000003,0.0,0.0
2020-05-07,2020,0.0,0.0,720.6,2858.1825799999997,0.0,0.0
2020-05-08,2050,0.0,0.0,676.3,2723.63427,0.0,0.0
2020-05-09,1520,0.0,0.0,673.3,2725.40659,0.0,0.0
2020-05-10,1500,0.0,0.0,648.4,2693.19422,0.0,0.0
2020-05-11,1970,0.0,0.0,677.1,4010.60997,0.0,0.0
2020-05-12,1990,0.0,0.0,671.8,3182.51156,0.0,0.0
2020-05-13,1880,0.0,0.0,678.8,2915.07071,0.0,0.0
2020-05-14,2090,0.0,0.0,666.3,2777.19828,0.0,0.0
2020-05-15,2130,0.0,0.0,645.6,2584.08299,0.0,0.0
2020-05-16,1570,0.0,0.0,642.7,2846.0436299999997,0.0,0.0
2020-05-17,1400,0.0,0.0,654.6,2999.84421,0.0,0.0
2020-05-18,2050,0.0,0.0,647.9,3423.3970900000004,0.0,0.0
2020-05-19,2040,0.0,0.0,659.7,3174.9039599999996,0.0,0.0
2020-05-20,1770,0.0,0.0,658.5,2808.2418700000003,0.0,0.0
2020-05-21,1970,0.0,0.0,647.6,3048.08075,0.0,0.0
2020-05-22,2070,0.0,0.0,637.3,2828.5471000000002,0.0,0.0
2020-05-23,1590,0.0,0.0,659.0,2719.17141,0.0,0.0
2020-05-24,1280,0.0,0.0,633.3,2062.4906499999997,0.0,0.0
2020-05-25,1610,0.0,0.0,646.1,3361.0554099999995,0.0,0.0
2020-05-26,1720,0.0,0.0,643.8,3581.53889,0.0,0.0
2020-05-27,2180,0.0,0.0,658.0,3307.6931900000004,0.0,0.0
2020-05-28,1910,0.0,0.0,636.2,2804.41798,0.0,0.0
2020-05-29,1980,0.0,0.0,633.7,2928.01748,0.0,0.0
2020-05-30,1410,0.0,0.0,603.1,2265.53712,0.0,0.0
2020-05-31,1220,0.0,0.0,600.4,2107.2756200000003,0.0,0.0
2020-06-01,1720,0.0,0.0,668.1,3527.88356,0.0,0.0
